parola,categoria,prefisso_numerico,info_grammaticale,pos,gender,info_verbali
accecare,alta_disponibilita,,"v.tr., v.intr.",verbo,,v.tr.; v.intr.
accedere,alto_uso,,v.intr.,verbo,,v.intr.
accelerare,alto_uso,,v.tr. e intr.,verbo,,v.tr. e intr.
acceleratore,alta_disponibilita,,"agg., s.m.",aggettivo; sostantivo,maschile,
accelerazione,alto_uso,,s.f.,sostantivo,femminile,
accendere,fondamentale,,v.tr.,verbo,,v.tr.
accendino,alto_uso,,s.m.,sostantivo,maschile,
accennare,alto_uso,,v.tr. e intr.,verbo,,v.tr. e intr.
accenno,alta_disponibilita,,s.m.,sostantivo,maschile,
accentare,alta_disponibilita,,v.tr.,verbo,,v.tr.
accertamento,alto_uso,,s.m.,sostantivo,maschile,
accertare,alto_uso,,v.tr.,verbo,,v.tr.
acceso,alto_uso,,"p.pass., agg.",verbo; participio passato; aggettivo,,p.pass.
accesso,fondamentale,,s.m.,sostantivo,maschile,
accessorio,alto_uso,,"agg., s.m.",aggettivo; sostantivo,maschile,
accetta,alta_disponibilita,,s.f.,sostantivo,femminile,
accettabile,alto_uso,,agg.,aggettivo,,
accettare,fondamentale,,v.tr.,verbo,,v.tr.
acchiappare,alta_disponibilita,,v.tr.,verbo,,v.tr.
acciacco,alta_disponibilita,,s.m.,sostantivo,maschile,
acciaio,alto_uso,,s.m.,sostantivo,maschile,
accidente,alto_uso,,s.m.,sostantivo,maschile,
acciuga,alta_disponibilita,,s.f.,sostantivo,femminile,
accogliente,alta_disponibilita,,"p.pres., agg.",verbo; participio presente; aggettivo,,p.pres.
accoglienza,alto_uso,,s.f.,sostantivo,femminile,
accogliere,fondamentale,,v.tr.,verbo,,v.tr.
accoltellare,alta_disponibilita,,v.tr.,verbo,,v.tr.
accomodare,alto_uso,,v.tr. e intr.,verbo,,v.tr. e intr.
accompagnare,alto_uso,,v.tr.,verbo,,v.tr.
acconsentire,alta_disponibilita,,v.intr. e tr.,verbo,,v.intr. e tr.
accontentare,alto_uso,,v.tr.,verbo,,v.tr.
accorciare,alta_disponibilita,,"v.tr., v.intr.",verbo,,v.tr.; v.intr.
accordare,alto_uso,,v.tr.,verbo,,v.tr.
accordo,fondamentale,,s.m.,sostantivo,maschile,
accorgersi,fondamentale,,v.pronom.intr.,verbo,maschile,v.pronom.intr.
accorrere,alta_disponibilita,,v.intr.,verbo,,v.intr.
accostare,alto_uso,,v.tr. e intr.,verbo,,v.tr. e intr.
accudire,alta_disponibilita,,v.intr. e tr.,verbo,,v.intr. e tr.
accumulare,alto_uso,,v.tr.,verbo,,v.tr.
accumulatore,alta_disponibilita,,"agg., s.m.",aggettivo; sostantivo,maschile,
accurato,alto_uso,,"p.pass., agg.",verbo; participio passato; aggettivo,,p.pass.
accusa,fondamentale,,s.f.,sostantivo,femminile,
accusare,fondamentale,,v.tr.,verbo,,v.tr.
accento,alto_uso,,s.m.,sostantivo,maschile,
acerbo,alta_disponibilita,,agg.,aggettivo,,
aceto,alta_disponibilita,,s.m.,sostantivo,maschile,
acido,alto_uso,,"agg., s.m.",aggettivo; sostantivo,maschile,
acqua,fondamentale,,s.f.,sostantivo,femminile,
acquarello,alta_disponibilita,,s.m.,sostantivo,maschile,
acquario,alta_disponibilita,1,s.m.,sostantivo,maschile,
acquasanta,alta_disponibilita,,s.f.,sostantivo,femminile,
acquisire,alto_uso,,v.tr.,verbo,,v.tr.
acquisizione,alto_uso,,s.f.,sostantivo,femminile,
acquistare,fondamentale,,v.tr. e intr.,verbo,,v.tr. e intr.
acquisto,fondamentale,,s.m.,sostantivo,maschile,
acquolina,alta_disponibilita,,s.f.,sostantivo,femminile,
acrobata,alta_disponibilita,1,s.m. e f.,sostantivo,maschile e femminile,
acuto,alto_uso,,"agg., s.m.",aggettivo; sostantivo,maschile,
adattare,alto_uso,,v.tr.,verbo,,v.tr.
adattatore,alta_disponibilita,,s.m.,sostantivo,maschile,
adatto,fondamentale,,agg.,aggettivo,,
addetto,alto_uso,1,"p.pass., agg., s.m.",verbo; participio passato; aggettivo; sostantivo,maschile,p.pass.
addio,alto_uso,,"inter., s.m.",interiezione; sostantivo,maschile,
addirittura,alto_uso,,avv.,avverbio,,
addizione,alta_disponibilita,,s.f.,sostantivo,femminile,
addobbare,alta_disponibilita,,v.tr.,verbo,,v.tr.
addolcire,alta_disponibilita,,v.tr.,verbo,,v.tr.
addomesticare,alta_disponibilita,,v.tr.,verbo,,v.tr.
addormentarsi,alto_uso,,v.pronom.intr.,verbo,maschile,v.pronom.intr.
addormentato,alta_disponibilita,,"p.pass., agg.",verbo; participio passato; aggettivo,,p.pass.
addossare,fondamentale,,v.tr.,verbo,,v.tr.
addosso,alta_disponibilita,,"avv., inter.",avverbio; interiezione,,
addrizzare,alta_disponibilita,,v.tr.,verbo,,v.tr.
adeguare,alto_uso,,v.tr.,verbo,,v.tr.
adeguato,alto_uso,,"p.pass., agg., s.m.",verbo; participio passato; aggettivo; sostantivo,maschile,p.pass.
aderente,alta_disponibilita,,"p.pres., agg., s.m. e f.",verbo; participio presente; aggettivo; sostantivo,maschile e femminile,p.pres.
aderire,alto_uso,,v.intr.,verbo,,v.intr.
adesione,alto_uso,,s.f.,sostantivo,femminile,
adesso,fondamentale,,avv.,avverbio,,
adolescente,fondamentale,,"agg., s.m. e f.",aggettivo; sostantivo,maschile e femminile,
adolescenza,alto_uso,,s.f.,sostantivo,femminile,
adoperare,alto_uso,,"v.tr., v.intr.",verbo,,v.tr.; v.intr.
adorare,alto_uso,,v.tr.,verbo,,v.tr.
adottare,fondamentale,,v.tr.,verbo,,v.tr.
adozione,alto_uso,,s.f.,sostantivo,femminile,
adriatico,alta_disponibilita,,agg.,aggettivo,,
adulto,fondamentale,,"agg., s.m.",aggettivo; sostantivo,maschile,
aereo,fondamentale,1,"agg., s.m.",aggettivo; sostantivo,maschile,
aereo,fondamentale,2,s.m.,sostantivo,maschile,
aeroplano,alta_disponibilita,,s.m.,sostantivo,maschile,
aeroporto,alto_uso,,s.m.,sostantivo,maschile,
afa,alta_disponibilita,,s.f.,sostantivo,femminile,
affacciare,alto_uso,,v.tr. e intr.,verbo,,v.tr. e intr.
affamare,alta_disponibilita,,"v.tr., v.intr.",verbo,,v.tr.; v.intr.
affamato,alta_disponibilita,,"p.pass., agg., s.m.",verbo; participio passato; aggettivo; sostantivo,maschile,p.pass.
affannarsi,alta_disponibilita,,v.pronom.intr.,verbo,maschile,v.pronom.intr.
affannato,alto_uso,,"p.pass., agg.",verbo; participio passato; aggettivo,,p.pass.
affanno,alta_disponibilita,,s.m.,sostantivo,maschile,
affare,fondamentale,,s.m.,sostantivo,maschile,
affascinante,alto_uso,,"p.pres., agg.",verbo; participio presente; aggettivo,,p.pres.
affascinare,alto_uso,1,v.tr.,verbo,,v.tr.
affaticare,alta_disponibilita,,v.tr.,verbo,,v.tr.
affatto,fondamentale,,avv.,avverbio,,
affermare,fondamentale,,v.tr.,verbo,,v.tr.
affermazione,alto_uso,,s.f.,sostantivo,femminile,
afferrare,alto_uso,,"v.tr., v.intr.",verbo,,v.tr.; v.intr.
affettare,alta_disponibilita,1,v.tr.,verbo,,v.tr.
affettato,alta_disponibilita,1,"p.pass., agg., s.m.",verbo; participio passato; aggettivo; sostantivo,maschile,p.pass.
affetto,alto_uso,1,s.m.,sostantivo,maschile,
affetto,alto_uso,2,agg.,aggettivo,,
affettuoso,alto_uso,,agg.,aggettivo,,
affezionato,alta_disponibilita,,"p.pass., agg.",verbo; participio passato; aggettivo,,p.pass.
affiancare,alto_uso,,v.tr.,verbo,,v.tr.
affidamento,alto_uso,,s.m.,sostantivo,maschile,
affidare,fondamentale,,v.tr.,verbo,,v.tr.
affilato,alta_disponibilita,1,"p.pass., agg.",verbo; participio passato; aggettivo,,p.pass.
affinché,alto_uso,,cong.,congiunzione,,
affittare,alto_uso,,v.tr.,verbo,,v.tr.
affitto,alto_uso,,s.m.,sostantivo,maschile,
affogare,alta_disponibilita,,v.tr. e intr.,verbo,,v.tr. e intr.
affollare,alta_disponibilita,1,v.tr.,verbo,,v.tr.
affondare,alto_uso,,v.tr. e intr.,verbo,,v.tr. e intr.
affresco,alto_uso,,s.m.,sostantivo,maschile,
affrontare,fondamentale,,v.tr.,verbo,,v.tr.
affumicare,alta_disponibilita,,v.tr.,verbo,,v.tr.
africano,alto_uso,,"agg., s.m.",aggettivo; sostantivo,maschile,
agenda,alto_uso,,s.f.,sostantivo,femminile,
agente,fondamentale,,"p.pres., agg., s.m. e f.",verbo; participio presente; aggettivo; sostantivo,maschile e femminile,p.pres.
agenzia,fondamentale,,s.f.,sostantivo,femminile,
agganciare,alto_uso,,v.tr.,verbo,,v.tr.
aggettivo,alto_uso,,s.m.,sostantivo,maschile,
aggiornamento,alto_uso,,s.m.,sostantivo,maschile,
aggiornare,alto_uso,1,v.tr.,verbo,,v.tr.
aggirare,alto_uso,,v.tr.,verbo,,v.tr.
aggiungere,fondamentale,,"v.tr., v.intr.",verbo,,v.tr.; v.intr.
aggiustare,alto_uso,,v.tr.,verbo,,v.tr.
aggrapparsi,alto_uso,,v.pronom.intr.,verbo,maschile,v.pronom.intr.
aggravare,alta_disponibilita,,"v.tr., v.intr.",verbo,,v.tr.; v.intr.
aggredire,alto_uso,,v.tr.,verbo,,v.tr.
aggressione,alto_uso,,s.f.,sostantivo,femminile,
aggressivo,alto_uso,,agg.,aggettivo,,
agiato,alta_disponibilita,,"p.pass., agg.",verbo; participio passato; aggettivo,,p.pass.
agile,alta_disponibilita,,agg.,aggettivo,,
agio,alto_uso,,s.m.,sostantivo,maschile,
agire,fondamentale,,v.intr.,verbo,,v.intr.
agitare,alto_uso,,v.tr.,verbo,,v.tr.
agitazione,alto_uso,,s.f.,sostantivo,femminile,
aglio,alta_disponibilita,,s.m.,sostantivo,maschile,
agnello,alto_uso,,s.m.,sostantivo,maschile,
ago,alto_uso,,s.m.,sostantivo,maschile,
agonia,alta_disponibilita,,s.f.,sostantivo,femminile,
agosto,fondamentale,1,s.m.,sostantivo,maschile,
agricolo,alto_uso,,agg.,aggettivo,,
agricoltore,alta_disponibilita,,s.m.,sostantivo,maschile,
agricoltura,alto_uso,,s.f.,sostantivo,femminile,
agrume,alta_disponibilita,,s.m.,sostantivo,maschile,
aguzzare,alta_disponibilita,,v.tr.,verbo,,v.tr.
aguzzo,alta_disponibilita,,agg.,aggettivo,,
aiuola,alta_disponibilita,,s.f.,sostantivo,femminile,
aiutare,fondamentale,,v.tr.,verbo,,v.tr.
aiuto,fondamentale,,"s.m., inter.",sostantivo; interiezione,maschile,
ala,fondamentale,1,s.f.,sostantivo,femminile,
alba,fondamentale,1,s.f.,sostantivo,femminile,
albanese,alto_uso,1,"agg., s.m. e f.",aggettivo; sostantivo,maschile e femminile,
albergo,fondamentale,,s.m.,sostantivo,maschile,
albero,fondamentale,1,s.m.,sostantivo,maschile,
albicocca,alta_disponibilita,,"s.f., s.m.inv., agg.inv.",sostantivo; aggettivo,maschile; femminile; invariabile,
album,fondamentale,,s.m.inv.,sostantivo,maschile; invariabile,
alcol,alto_uso,,s.m.,sostantivo,maschile,
alcuno,fondamentale,,"agg.indef., pron.indef.m.",aggettivo indefinito; aggettivo; pronome,maschile; femminile,
alfabeto,alta_disponibilita,,s.m.,sostantivo,maschile,
alga,alta_disponibilita,,s.f.,sostantivo,femminile,
algerino,alta_disponibilita,,"agg., s.m.",aggettivo; sostantivo,maschile,
alieno,alto_uso,,"agg., s.m.",aggettivo; sostantivo,maschile,
alimentare,alto_uso,1,"agg., s.m.",aggettivo; sostantivo,maschile,
alimentare,alto_uso,2,v.tr.,verbo,,v.tr.
alimentari,alta_disponibilita,,s.m.inv.,sostantivo,maschile; invariabile,
alimentazione,alto_uso,,s.f.,sostantivo,femminile,
alimento,alto_uso,,s.m.,sostantivo,maschile,
alito,alta_disponibilita,,s.m.,sostantivo,maschile,
allacciare,alta_disponibilita,,v.tr.,verbo,,v.tr.
allagare,alta_disponibilita,,v.tr.,verbo,,v.tr.
allargare,alto_uso,,v.tr. e intr.,verbo,,v.tr. e intr.
allarmare,alta_disponibilita,,v.tr.,verbo,,v.tr.
allarme,alto_uso,,s.m.,sostantivo,maschile,
allattare,alta_disponibilita,,v.tr.,verbo,,v.tr.
alleanza,alto_uso,,s.f.,sostantivo,femminile,
allearsi,alta_disponibilita,,v.pronom.intr.,verbo,maschile,v.pronom.intr.
alleato,alto_uso,,"p.pass., agg., s.m.",verbo; participio passato; aggettivo; sostantivo,maschile,p.pass.
allegato,alto_uso,1,"p.pass., agg., s.m.",verbo; participio passato; aggettivo; sostantivo,maschile,p.pass.
alleggerire,alta_disponibilita,,v.tr.,verbo,,v.tr.
allegria,alto_uso,,s.f.,sostantivo,femminile,
allegro,alto_uso,,"agg., avv., s.m.",aggettivo; avverbio; sostantivo,maschile,
allenamento,alto_uso,,s.m.,sostantivo,maschile,
allenare,alto_uso,1,v.tr.,verbo,,v.tr.
allenatore,alto_uso,,"agg., s.m.",aggettivo; sostantivo,maschile,
allentare,alta_disponibilita,,v.tr.,verbo,,v.tr.
allergia,alta_disponibilita,,s.f.,sostantivo,femminile,
allevare,alto_uso,1,v.tr.,verbo,,v.tr.
allievo,alto_uso,1,s.m.,sostantivo,maschile,
allineare,alta_disponibilita,,v.tr.,verbo,,v.tr.
alloggio,alto_uso,,s.m.,sostantivo,maschile,
allontanare,fondamentale,,v.tr.,verbo,,v.tr.
allora,fondamentale,,"avv., cong.",avverbio; congiunzione,,
alluce,alta_disponibilita,,s.m.,sostantivo,maschile,
alludere,alto_uso,,v.intr.,verbo,,v.intr.
alluminio,alta_disponibilita,,s.m.,sostantivo,maschile,
allungare,fondamentale,,"v.tr., v.intr.",verbo,,v.tr.; v.intr.
alluvione,alta_disponibilita,,s.f.,sostantivo,femminile,
almeno,fondamentale,,avv.,avverbio,,
alquanto,alto_uso,,"agg.indef., pron.indef., avv.",aggettivo indefinito; aggettivo; pronome; avverbio,femminile,
altalena,alta_disponibilita,,s.f.,sostantivo,femminile,
altamente,alto_uso,,avv.,avverbio,,
altare,alto_uso,,s.m.,sostantivo,maschile,
alterare,alto_uso,,v.tr.,verbo,,v.tr.
alternare,alto_uso,,v.tr. e intr.,verbo,,v.tr. e intr.
alternativa,alto_uso,,s.f.,sostantivo,femminile,
alternativo,alto_uso,,agg.,aggettivo,,
alterno,alta_disponibilita,,agg.,aggettivo,,
altezza,fondamentale,,s.f.,sostantivo,femminile,
alto,fondamentale,1,"agg., s.m., avv.",aggettivo; sostantivo; avverbio,maschile,
altoatesino,alta_disponibilita,,"agg., s.m.",aggettivo; sostantivo,maschile,
altopiano,alto_uso,,s.m.,sostantivo,maschile,
altrettanto,fondamentale,,"agg.indef., pron.indef., avv.",aggettivo indefinito; aggettivo; pronome; avverbio,femminile,
altrimenti,fondamentale,,avv.,avverbio,,
altro,fondamentale,,"agg.indef., pron.indef.m., avv.",aggettivo indefinito; aggettivo; pronome; avverbio,maschile; femminile,
altrove,alto_uso,,avv.,avverbio,,
altrui,alto_uso,,"agg.poss.inv., pron.indef.inv.",aggettivo possessivo; aggettivo; sostantivo; pronome,femminile; invariabile,
alunno,alto_uso,,s.m.,sostantivo,maschile,
alveare,alta_disponibilita,,s.m.,sostantivo,maschile,
alzare,fondamentale,,v.tr.,verbo,,v.tr.
amante,fondamentale,1,"p.pres., agg., s.m. e f.",verbo; participio presente; aggettivo; sostantivo,maschile e femminile,p.pres.
amare,fondamentale,,v.tr.,verbo,,v.tr.
amaro,alto_uso,,"agg., s.m.",aggettivo; sostantivo,maschile,
amato,alto_uso,,"p.pass., agg., s.m.",verbo; participio passato; aggettivo; sostantivo,maschile,p.pass.
ambasciata,alta_disponibilita,1,s.f.,sostantivo,femminile,
ambientale,fondamentale,,agg.,aggettivo,,
ambientare,alto_uso,,v.tr.,verbo,,v.tr.
ambiente,fondamentale,,"s.m., agg.",sostantivo; aggettivo,maschile,
ambito,fondamentale,1,s.m.,sostantivo,maschile,
ambizione,alto_uso,,s.f.,sostantivo,femminile,
ambulanza,alto_uso,,s.f.,sostantivo,femminile,
americano,fondamentale,,"agg., s.m.",aggettivo; sostantivo,maschile,
amicizia,fondamentale,,s.f.,sostantivo,femminile,
amico,fondamentale,,"agg., s.m.",aggettivo; sostantivo,maschile,
ammaccare,alta_disponibilita,,v.tr.,verbo,,v.tr.
ammalarsi,alto_uso,,v.pronom. intr.,verbo,maschile,v.pronom.intr.
ammalato,alta_disponibilita,,"p.pass., agg., s.m.",verbo; participio passato; aggettivo; sostantivo,maschile,p.pass.
ammanettare,alta_disponibilita,,v.tr.,verbo,,v.tr.
ammassare,alta_disponibilita,,v.tr.,verbo,,v.tr.
ammasso,alta_disponibilita,,s.m.,sostantivo,maschile,
ammazzare,fondamentale,,v.tr.,verbo,,v.tr.
ammettere,fondamentale,,v.tr.,verbo,,v.tr.
amministrativo,alto_uso,,"agg., s.m.",aggettivo; sostantivo,maschile,
amministratore,alto_uso,,s.m.,sostantivo,maschile,
amministrazione,fondamentale,,s.f.,sostantivo,femminile,
ammirare,alto_uso,,"v.tr., v.intr.",verbo,,v.tr.; v.intr.
ammissione,alto_uso,,s.f.,sostantivo,femminile,
ammobiliare,alta_disponibilita,,v.tr.,verbo,,v.tr.
ammoniaca,alta_disponibilita,,s.f.,sostantivo,femminile,
ammorbidente,alta_disponibilita,,"p.pres., agg., s.m.",verbo; participio presente; aggettivo; sostantivo,maschile,p.pres.
ammucchiare,alta_disponibilita,,v.tr.,verbo,,v.tr.
ammuffire,alta_disponibilita,,v.intr.,verbo,,v.intr.
amore,fondamentale,,s.m.,sostantivo,maschile,
amoroso,alto_uso,,"agg., s.m.",aggettivo; sostantivo,maschile,
ampiamente,alto_uso,,avv.,avverbio,,
ampio,fondamentale,,"agg., s.m.",aggettivo; sostantivo,maschile,
amplificatore,alta_disponibilita,,"agg., s.m.",aggettivo; sostantivo,maschile,
analcolico,alta_disponibilita,,"agg., s.m.",aggettivo; sostantivo,maschile,
analfabeta,alta_disponibilita,,"agg., s.m. e f.",aggettivo; sostantivo,maschile e femminile,
analisi,fondamentale,,s.f.inv.,sostantivo,femminile; invariabile,
analitico,alto_uso,,agg.,aggettivo,,
analizzare,fondamentale,,v.tr.,verbo,,v.tr.
analogo,alto_uso,,agg.,aggettivo,,
ananas,alta_disponibilita,,s.m.inv.,sostantivo,maschile; invariabile,
anarchico,alta_disponibilita,,"agg., s.m.",aggettivo; sostantivo,maschile,
anatra,alta_disponibilita,,s.f.,sostantivo,femminile,
anche,fondamentale,,"cong., avv.",congiunzione; avverbio,,
anconetano,alta_disponibilita,,"agg., s.m.",aggettivo; sostantivo,maschile,
ancora,fondamentale,2,"avv., cong.",avverbio; congiunzione,,
ancorare,alto_uso,,v.tr.,verbo,,v.tr.
andamento,alto_uso,,s.m.,sostantivo,maschile,
andare,fondamentale,1,v.intr.,verbo,,v.intr.
andata,alta_disponibilita,,s.f.,sostantivo,femminile,
anello,fondamentale,,s.m.,sostantivo,maschile,
angelo,fondamentale,,s.m.,sostantivo,maschile,
angolare,alto_uso,1,"agg., s.m.",aggettivo; sostantivo,maschile,
angolo,fondamentale,,s.m.,sostantivo,maschile,
angoscia,alto_uso,,s.f.,sostantivo,femminile,
anima,fondamentale,,s.f.,sostantivo,femminile,
animale,fondamentale,1,s.m.,sostantivo,maschile,
animale,fondamentale,2,agg.,aggettivo,,
animare,fondamentale,,v.tr.,verbo,,v.tr.
animato,alto_uso,,"p.pass., agg., avv.",verbo; participio passato; aggettivo; avverbio,,p.pass.
animo,alto_uso,,"s.m., inter.",sostantivo; interiezione,maschile,
annacquare,alta_disponibilita,,v.tr.,verbo,,v.tr.
annaffiare,alta_disponibilita,,v.tr.,verbo,,v.tr.
annebbiare,alta_disponibilita,,v.tr. e intr.,verbo,,v.tr. e intr.
anniversario,alto_uso,,"s.m., agg.",sostantivo; aggettivo,maschile,
anno,fondamentale,,s.m.,sostantivo,maschile,
annodare,alta_disponibilita,,v.tr.,verbo,,v.tr.
annoiare,alto_uso,,v.tr.,verbo,,v.tr.
annotare,alto_uso,,v.tr.,verbo,,v.tr.
annuale,alto_uso,,"agg., s.m.",aggettivo; sostantivo,maschile,
annuire,alto_uso,,v.intr.,verbo,,v.intr.
annullare,alto_uso,,v.tr.,verbo,,v.tr.
annunciare,fondamentale,,v.tr.,verbo,,v.tr.
annuncio,alto_uso,,s.m.,sostantivo,maschile,
annusare,alto_uso,,v.tr.,verbo,,v.tr.
anonimo,alto_uso,,"agg., s.m.",aggettivo; sostantivo,maschile,
ansia,fondamentale,,s.f.,sostantivo,femminile,
ansioso,alto_uso,,"agg., s.m.",aggettivo; sostantivo,maschile,
antartico,alta_disponibilita,,"agg., s.m.",aggettivo; sostantivo,maschile,
antenna,alto_uso,,s.f.,sostantivo,femminile,
anteprima,alto_uso,,s.f.,sostantivo,femminile,
anteriore,alto_uso,,agg.,aggettivo,,
anticalcare,alta_disponibilita,,agg.,aggettivo,,
antichità,alta_disponibilita,,s.f.inv.,sostantivo,femminile; invariabile,
anticipare,alto_uso,,v.tr.,verbo,,v.tr.
anticipo,alto_uso,,s.m.,sostantivo,maschile,
antico,fondamentale,1,"agg., s.m.",aggettivo; sostantivo,maschile,
antipasto,alta_disponibilita,,s.m.,sostantivo,maschile,
antirughe,alta_disponibilita,,"agg.inv., s.m.inv.",aggettivo; sostantivo,maschile; invariabile,
antropologia,alto_uso,,s.f.,sostantivo,femminile,
anulare,alta_disponibilita,,"agg., s.m.",aggettivo; sostantivo,maschile,
anzi,fondamentale,,"avv., prep.",avverbio; preposizione,,
anziano,fondamentale,1,"agg., s.m.",aggettivo; sostantivo,maschile,
anziché,alto_uso,,cong.,congiunzione,,
aostano,alta_disponibilita,,"agg., s.m.",aggettivo; sostantivo,maschile,
ape,alto_uso,,s.f.,sostantivo,femminile,
aperitivo,alta_disponibilita,,"s.m., agg.",sostantivo; aggettivo,maschile,
aperto,fondamentale,,"p.pass., agg., s.m., avv.",verbo; participio passato; aggettivo; sostantivo; avverbio,maschile,p.pass.
apertura,fondamentale,,s.f.,sostantivo,femminile,
aspettativa,alto_uso,,s.f.,sostantivo,femminile,
apostolo,alta_disponibilita,,s.m.,sostantivo,maschile,
appalto,alto_uso,,s.m.,sostantivo,maschile,
appannare,alta_disponibilita,1,v.tr.,verbo,,v.tr.
apparato,alto_uso,,s.m.,sostantivo,maschile,
apparecchiare,alta_disponibilita,,v.tr.,verbo,,v.tr.
apparecchiatura,alta_disponibilita,,s.f.,sostantivo,femminile,
apparecchio,alto_uso,,s.m.,sostantivo,maschile,
apparente,alto_uso,,"p.pres., agg.",verbo; participio presente; aggettivo,,p.pres.
apparentemente,alto_uso,,avv.,avverbio,,
apparenza,alto_uso,,s.f.,sostantivo,femminile,
apparire,fondamentale,,v.intr.,verbo,,v.intr.
apparizione,alto_uso,,s.f.,sostantivo,femminile,
appartamento,fondamentale,,s.m.,sostantivo,maschile,
appartenenza,alto_uso,,s.f.,sostantivo,femminile,
appartenere,fondamentale,,v.intr.,verbo,,v.intr.
appassionare,alto_uso,,v.tr.,verbo,,v.tr.
appassionarsi,alto_uso,,v.pronom.intr.,verbo,maschile,v.pronom.intr.
appassionato,alto_uso,,"p.pass., agg., s.m.",verbo; participio passato; aggettivo; sostantivo,maschile,p.pass.
appello,alto_uso,,s.m.,sostantivo,maschile,
appena,fondamentale,,"avv., cong.",avverbio; congiunzione,,
appendere,alto_uso,,v.tr.,verbo,,v.tr.
appendicite,alta_disponibilita,,s.f.,sostantivo,femminile,
appenninico,alto_uso,,agg.,aggettivo,,
appeso,alta_disponibilita,,"p.pass., agg., s.m.",verbo; participio passato; aggettivo; sostantivo,maschile,p.pass.
appiccicare,alta_disponibilita,,v.tr. e intr.,verbo,,v.tr. e intr.
appiglio,alta_disponibilita,,s.m.,sostantivo,maschile,
applauso,alto_uso,,s.m.,sostantivo,maschile,
applicare,fondamentale,,v.tr.,verbo,,v.tr.
applicazione,alto_uso,,s.f.,sostantivo,femminile,
appoggiare,fondamentale,,v.tr. e intr.,verbo,,v.tr. e intr.
appoggio,alto_uso,,s.m.,sostantivo,maschile,
apposito,alto_uso,,agg.,aggettivo,,
apposta,alto_uso,,"avv., agg.inv.",avverbio; aggettivo,invariabile,
apprendere,alto_uso,,v.tr.,verbo,,v.tr.
apprendimento,alto_uso,,s.m.,sostantivo,maschile,
apprendista,alto_uso,,s.m. e f.,sostantivo,maschile e femminile,
apprezzare,fondamentale,,v.tr.,verbo,,v.tr.
