parola,categoria,prefisso_numerico,info_grammaticale
aereo,fondamentale,2,s.m.
aeroplano,alta_disponibilita,,s.m.
aeroporto,alto_uso,,s.m.
afa,alta_disponibilita,,s.f.
affacciare,alto_uso,,v.tr. e intr.
affamare,alta_disponibilita,,"v.tr., v.intr."
affamato,alta_disponibilita,,"p.pass., agg., s.m."
affannarsi,alta_disponibilita,,v.pronom.intr.
affannato,alto_uso,,"p.pass., agg."
affanno,alta_disponibilita,,s.m.
affare,fondamentale,,s.m.
affascinante,alto_uso,,"p.pres., agg."
affascinare,alto_uso,1,v.tr.
affaticare,alta_disponibilita,,v.tr.
affatto,fondamentale,,avv.
affermare,fondamentale,,v.tr.
affermazione,alto_uso,,s.f.
afferrare,alto_uso,,"v.tr., v.intr."
affettare,alta_disponibilita,1,v.tr.
affettato,alta_disponibilita,1,"p.pass., agg., s.m."
affetto,alto_uso,1,s.m.
affetto,alto_uso,2,agg.
affettuoso,alto_uso,,agg.
affezionato,alta_disponibilita,,"p.pass., agg."
affiancare,alto_uso,,v.tr.
affidamento,alto_uso,,s.m.
affidare,fondamentale,,v.tr.
affilato,alta_disponibilita,1,"p.pass., agg."
affinché,alto_uso,,cong.
affittare,alto_uso,,v.tr.
affitto,alto_uso,,s.m.
affogare,alta_disponibilita,,v.tr. e intr.
affollare,alta_disponibilita,1,v.tr.
affondare,alto_uso,,v.tr. e intr.
affresco,alto_uso,,s.m.
affrontare,fondamentale,,v.tr.
affumicare,alta_disponibilita,,v.tr.
africano,alto_uso,,"agg., s.m."
agenda,alto_uso,,s.f.
agente,fondamentale,,"p.pres., agg., s.m. e f."
agenzia,fondamentale,,s.f.
agganciare,alto_uso,,v.tr.
aggettivo,alto_uso,,s.m.
aggiornamento,alto_uso,,s.m.
aggiornare,alto_uso,1,v.tr.
aggirare,alto_uso,,v.tr.
aggiungere,fondamentale,,"v.tr., v.intr."
aggiustare,alto_uso,,v.tr.
aggrapparsi,alto_uso,,v.pronom.intr.
aggravare,alta_disponibilita,,"v.tr., v.intr."
aggredire,alto_uso,,v.tr.
aggressione,alto_uso,,s.f.
aggressivo,alto_uso,,agg.
agiato,alta_disponibilita,,"p.pass., agg."
agile,alta_disponibilita,,agg.
agio,alto_uso,,s.m.
agire,fondamentale,,v.intr.
agitare,alto_uso,,v.tr.
agitazione,alto_uso,,s.f.
aglio,alta_disponibilita,,s.m.
agnello,alto_uso,,s.m.
ago,alto_uso,,s.m.
agonia,alta_disponibilita,,s.f.
agosto,fondamentale,1,s.m.
agricolo,alto_uso,,agg.
agricoltore,alta_disponibilita,,s.m.
agricoltura,alto_uso,,s.f.
agrume,alta_disponibilita,,s.m.
aguzzare,alta_disponibilita,,v.tr.
aguzzo,alta_disponibilita,,agg.
aiuola,alta_disponibilita,,s.f.
aiutare,fondamentale,,v.tr.
aiuto,fondamentale,,"s.m., inter."
ala,fondamentale,1,s.f.
alba,fondamentale,1,s.f.
albanese,alto_uso,1,"agg., s.m. e f."
albergo,fondamentale,,s.m.
albero,fondamentale,1,s.m.
albicocca,alta_disponibilita,,"s.f., s.m.inv., agg.inv."
album,fondamentale,,s.m.inv.
alcol,alto_uso,,s.m.
alcuno,fondamentale,,"agg.indef., pron.indef.m."
alfabeto,alta_disponibilita,,s.m.
alga,alta_disponibilita,,s.f.
algerino,alta_disponibilita,,"agg., s.m."
alieno,alto_uso,,"agg., s.m."
alimentare,alto_uso,1,"agg., s.m."
alimentare,alto_uso,2,v.tr.
alimentari,alta_disponibilita,,s.m.inv.
alimentazione,alto_uso,,s.f.
alimento,alto_uso,,s.m.
alito,alta_disponibilita,,s.m.
allacciare,alta_disponibilita,,v.tr.
allagare,alta_disponibilita,,v.tr.
allargare,alto_uso,,v.tr. e intr.
allarmare,alta_disponibilita,,v.tr.
allarme,alto_uso,,s.m.
allattare,alta_disponibilita,,v.tr.
alleanza,alto_uso,,s.f.
allearsi,alta_disponibilita,,v.pronom.intr.
alleato,alto_uso,,"p.pass., agg., s.m."
allegato,alto_uso,1,"p.pass., agg., s.m."
alleggerire,alta_disponibilita,,v.tr.
allegria,alto_uso,,s.f.
allegro,alto_uso,,"agg., avv., s.m."
allenamento,alto_uso,,s.m.
allenare,alto_uso,1,v.tr.
allenatore,alto_uso,,"agg., s.m."
allentare,alta_disponibilita,,v.tr.
allergia,alta_disponibilita,,s.f.
allevare,alto_uso,1,v.tr.
allievo,alto_uso,1,s.m.
allineare,alta_disponibilita,,v.tr.
alloggio,alto_uso,,s.m.
allontanare,fondamentale,,v.tr.
allora,fondamentale,,"avv., cong."
alluce,alta_disponibilita,,s.m.
alludere,alto_uso,,v.intr.
alluminio,alta_disponibilita,,s.m.
allungare,fondamentale,,"v.tr., v.intr."
alluvione,alta_disponibilita,,s.f.
almeno,fondamentale,,avv.
alquanto,alto_uso,,"agg.indef., pron.indef., avv."
altalena,alta_disponibilita,,s.f.
altamente,alto_uso,,avv.
altare,alto_uso,,s.m.
alterare,alto_uso,,v.tr.
alternare,alto_uso,,v.tr. e intr.
alternativa,alto_uso,,s.f.
alternativo,alto_uso,,agg.
alterno,alta_disponibilita,,agg.
altezza,fondamentale,,s.f.
alto,fondamentale,1,"agg., s.m., avv."
altoatesino,alta_disponibilita,,"agg., s.m."
altopiano,alto_uso,,s.m.
altrettanto,fondamentale,,"agg.indef., pron.indef., avv."
altrimenti,fondamentale,,avv.
altro,fondamentale,,"agg.indef., pron.indef.m., avv."
altrove,alto_uso,,avv.
altrui,alto_uso,,"agg.poss.inv., pron.indef.inv."
alunno,alto_uso,,s.m.
alveare,alta_disponibilita,,s.m.
alzare,fondamentale,,v.tr.
amante,fondamentale,1,"p.pres., agg., s.m. e f."
amare,fondamentale,,v.tr.
amaro,alto_uso,,"agg., s.m."
amato,alto_uso,,"p.pass., agg., s.m."
ambasciata,alta_disponibilita,1,s.f.
ambientale,fondamentale,,agg.
ambientare,alto_uso,,v.tr.
ambiente,fondamentale,,"s.m., agg."
ambito,fondamentale,1,s.m.
ambizione,alto_uso,,s.f.
ambulanza,alto_uso,,s.f.
americano,fondamentale,,"agg., s.m."
amicizia,fondamentale,,s.f.
amico,fondamentale,,"agg., s.m."
ammaccare,alta_disponibilita,,v.tr.
ammalarsi,alto_uso,,v.pronom. intr.
ammalato,alta_disponibilita,,"p.pass., agg., s.m."
ammanettare,alta_disponibilita,,v.tr.
ammassare,alta_disponibilita,,v.tr.
ammasso,alta_disponibilita,,s.m.
ammazzare,fondamentale,,v.tr.
ammettere,fondamentale,,v.tr.
amministrativo,alto_uso,,"agg., s.m."
amministratore,alto_uso,,s.m.
amministrazione,fondamentale,,s.f.
ammirare,alto_uso,,"v.tr., v.intr."
ammissione,alto_uso,,s.f.
ammobiliare,alta_disponibilita,,v.tr.
ammoniaca,alta_disponibilita,,s.f.
ammorbidente,alta_disponibilita,,"p.pres., agg., s.m."
ammucchiare,alta_disponibilita,,v.tr.
ammuffire,alta_disponibilita,,v.intr.
amore,fondamentale,,s.m.
amoroso,alto_uso,,"agg., s.m."
ampiamente,alto_uso,,avv.
ampio,fondamentale,,"agg., s.m."
amplificatore,alta_disponibilita,,"agg., s.m."
analcolico,alta_disponibilita,,"agg., s.m."
analfabeta,alta_disponibilita,,"agg., s.m. e f."
analisi,fondamentale,,s.f.inv.
analitico,alto_uso,,agg.
analizzare,fondamentale,,v.tr.
analogo,alto_uso,,agg.
ananas,alta_disponibilita,,s.m.inv.
anarchico,alta_disponibilita,,"agg., s.m."
anatra,alta_disponibilita,,s.f.
anche,fondamentale,,"cong., avv."
anconetano,alta_disponibilita,,"agg., s.m."
ancora,fondamentale,2,"avv., cong."
ancorare,alto_uso,,v.tr.
andamento,alto_uso,,s.m.
andare,fondamentale,1,v.intr.
andata,alta_disponibilita,,s.f.
anello,fondamentale,,s.m.
angelo,fondamentale,,s.m.
angolare,alto_uso,1,"agg., s.m."
angolo,fondamentale,,s.m.
angoscia,alto_uso,,s.f.
anima,fondamentale,,s.f.
animale,fondamentale,1,s.m.
animale,fondamentale,2,agg.
animare,fondamentale,,v.tr.
animato,alto_uso,,"p.pass., agg., avv."
animo,alto_uso,,"s.m., inter."
annacquare,alta_disponibilita,,v.tr.
annaffiare,alta_disponibilita,,v.tr.
annebbiare,alta_disponibilita,,v.tr. e intr.
anniversario,alto_uso,,"s.m., agg."
anno,fondamentale,,s.m.
annodare,alta_disponibilita,,v.tr.
annoiare,alto_uso,,v.tr.
annotare,alto_uso,,v.tr.
annuale,alto_uso,,"agg., s.m."
annuire,alto_uso,,v.intr.
annullare,alto_uso,,v.tr.
annunciare,fondamentale,,v.tr.
annuncio,alto_uso,,s.m.
annusare,alto_uso,,v.tr.
anonimo,alto_uso,,"agg., s.m."
ansia,fondamentale,,s.f.
ansioso,alto_uso,,"agg., s.m."
antartico,alta_disponibilita,,"agg., s.m."
antenna,alto_uso,,s.f.
anteprima,alto_uso,,s.f.
anteriore,alto_uso,,agg.
anticalcare,alta_disponibilita,,agg.
antichità,alta_disponibilita,,s.f.inv.
anticipare,alto_uso,,v.tr.
anticipo,alto_uso,,s.m.
antico,fondamentale,1,"agg., s.m."
antipasto,alta_disponibilita,,s.m.
antirughe,alta_disponibilita,,"agg.inv., s.m.inv."
antropologia,alto_uso,,s.f.
anulare,alta_disponibilita,,"agg., s.m."
anzi,fondamentale,,"avv., prep."
anziano,fondamentale,1,"agg., s.m."
anziché,alto_uso,,cong.
aostano,alta_disponibilita,,"agg., s.m."
ape,alto_uso,,s.f.
aperitivo,alta_disponibilita,,"s.m., agg."
aperto,fondamentale,,"p.pass., agg., s.m., avv."
apertura,fondamentale,,s.f.
aspettativa,alto_uso,,s.f.
apostolo,alta_disponibilita,,s.m.
appalto,alto_uso,,s.m.
appannare,alta_disponibilita,1,v.tr.
apparato,alto_uso,,s.m.
apparecchiare,alta_disponibilita,,v.tr.
apparecchiatura,alta_disponibilita,,s.f.
apparecchio,alto_uso,,s.m.
apparente,alto_uso,,"p.pres., agg."
apparentemente,alto_uso,,avv.
apparenza,alto_uso,,s.f.
apparire,fondamentale,,v.intr.
apparizione,alto_uso,,s.f.
appartamento,fondamentale,,s.m.
appartenenza,alto_uso,,s.f.
appartenere,fondamentale,,v.intr.
appassionare,alto_uso,,v.tr.
appassionarsi,alto_uso,,v.pronom.intr.
appassionato,alto_uso,,"p.pass., agg., s.m."
appello,alto_uso,,s.m.
appena,fondamentale,,"avv., cong."
appendere,alto_uso,,v.tr.
appendicite,alta_disponibilita,,s.f.
appenninico,alto_uso,,agg.
appeso,alta_disponibilita,,"p.pass., agg., s.m."
appiccicare,alta_disponibilita,,v.tr. e intr.
appiglio,alta_disponibilita,,s.m.
applauso,alto_uso,,s.m.
applicare,fondamentale,,v.tr.
applicazione,alto_uso,,s.f.
appoggiare,fondamentale,,v.tr. e intr.
appoggio,alto_uso,,s.m.
apposito,alto_uso,,agg.
apposta,alto_uso,,"avv., agg.inv."
apprendere,alto_uso,,v.tr.
apprendimento,alto_uso,,s.m.
apprendista,alto_uso,,s.m. e f.
apprezzare,fondamentale,,v.tr.
approccio,alto_uso,,s.m.
approfittare,alto_uso,,v.intr.
approfondimento,alto_uso,,s.m.
approfondire,alto_uso,,v.tr.
approvare,alto_uso,,v.tr.
approvazione,alto_uso,,s.f.
appuntamento,fondamentale,1,s.m.
appuntire,alta_disponibilita,,v.tr.
appunto,fondamentale,1,s.m.
appunto,fondamentale,2,avv.
aprile,fondamentale,,s.m.
aprire,fondamentale,,v.tr. e intr.
apriscatole,alto_uso,,s.m.inv.
aquila,alta_disponibilita,,s.f.
aquilano,alta_disponibilita,,"agg., s.m."
aquilone,alta_disponibilita,1,s.m.
arabo,fondamentale,,"agg., s.m."
arachide,alta_disponibilita,,s.f.
aragosta,alta_disponibilita,,"s.f., s.m.inv."
aranciata,alta_disponibilita,,s.f.
arancio,alta_disponibilita,1,s.m.
arare,alta_disponibilita,,v.tr.
aratro,alta_disponibilita,,s.m.
arbitro,alto_uso,,s.m.
archeologo,alta_disponibilita,,s.m.
architettare,alto_uso,,v.tr.
architetto,alto_uso,,s.m.
architettonico,alto_uso,,agg.
architettura,alto_uso,,s.f.
archiviare,alto_uso,,v.tr.
archivio,alto_uso,,s.m.
arco,fondamentale,,s.m.
arcobaleno,alta_disponibilita,,s.m.
area,fondamentale,,s.f.
argentino,alto_uso,1,"agg., s.m."
argento,alto_uso,,s.m.
argomentare,alto_uso,,v.tr. e intr.
argomentazione,alto_uso,,s.f.
argomento,fondamentale,,s.m.
aria,fondamentale,,s.f.
aristocratico,alta_disponibilita,,"agg., s.m."
aritmetica,alta_disponibilita,1,s.f.
aritmetico,alta_disponibilita,,"agg., s.m."
arma,fondamentale,1,s.f.
armadio,alto_uso,,s.m.
armamento,alta_disponibilita,,s.m.
armare,alto_uso,,v.tr.
armato,alto_uso,,"p.pass., agg., s.m."
armonia,alto_uso,,s.f.
aroma,alta_disponibilita,,s.m.
arrabbiarsi,alto_uso,,v.pronom.intr.
arrampicarsi,alto_uso,,v.pronom.intr.
arredamento,alto_uso,,s.m.
arredare,alta_disponibilita,,v.tr.
arrendersi,alto_uso,,v.pronom.intr.
arrendersi,alto_uso,,v.pronom.intr.
arrestare,fondamentale,1,v.tr.
arresto,alto_uso,1,s.m.
arricchire,alto_uso,,v.tr. e intr.
arrivare,fondamentale,,v.intr. e tr.
arrivederci,alto_uso,,"inter., s.m.inv."
arrivo,fondamentale,,s.m.
arrosto,alta_disponibilita,,"s.m., agg.inv., avv."
arrugginire,alta_disponibilita,,v.tr. e intr.
arte,fondamentale,,s.f.
arteria,alto_uso,,s.f.
artico,alta_disponibilita,,"agg., s.m."
articolare,alto_uso,3,"v.tr., s.m."
articolazione,alto_uso,,s.f.
articolo,fondamentale,,s.m.
artificiale,alto_uso,,agg.
artigianale,alta_disponibilita,,agg.
artigiano,alto_uso,,"s.m., agg."
artiglieria,alta_disponibilita,,s.f.
artiglio,alta_disponibilita,,s.m.
artista,fondamentale,,s.m. e f.
artistico,fondamentale,,"agg., s.m."
ascella,alta_disponibilita,,s.f.
ascensore,alto_uso,,s.m.
ascesa,alto_uso,,s.f.
ascesso,alta_disponibilita,,s.m.
ascia,alta_disponibilita,,s.f.
asciugamano,alto_uso,,s.m.
asciugare,alto_uso,,v.tr. e intr.
asciutto,alto_uso,,"agg., s.m."
ascoltare,fondamentale,,v.tr.
ascolto,alto_uso,,s.m.
asfaltare,alta_disponibilita,,v.tr.
asfalto,alta_disponibilita,,s.m.
asiatico,alto_uso,,"agg., s.m."
asilo,alto_uso,1,s.m.
asino,alto_uso,,s.m.
asma,alta_disponibilita,,s.f. e m.
asparago,alta_disponibilita,,s.m.
aspettare,fondamentale,,v.tr. e intr.
aspetto,fondamentale,1,s.m.
aspirapolvere,alta_disponibilita,,s.m.inv.
aspirare,alto_uso,,v.tr. e intr.
aspirazione,alto_uso,,s.f.
aspro,alto_uso,1,"agg., s.m."
assaggiare,alto_uso,,v.tr.
assaggio,alta_disponibilita,,s.m.
assai,fondamentale,,"avv., agg.indef.inv., s.m.inv."
assalire,alta_disponibilita,,v.tr.
assaltare,alta_disponibilita,,v.tr.
assalto,alto_uso,,s.m.
assaporare,alta_disponibilita,,v.tr.
assassinare,alto_uso,,v.tr.
assassinio,alta_disponibilita,,s.m.
assassino,alto_uso,,"s.m., agg."
asse,alto_uso,2,s.m.
assediare,alta_disponibilita,,v.tr.
assegnare,alto_uso,,v.tr.
assegno,alto_uso,,s.m.
assemblea,alto_uso,,s.f.
assente,alto_uso,,"agg., s.m. e f."
assenza,fondamentale,,s.f.
assicurare,fondamentale,,v.tr.
assicurazione,alto_uso,,s.f.
assieme,fondamentale,,"avv., s.m."
assistente,alto_uso,,"p.pres., agg., s.m. e f."
assistenza,alto_uso,,s.f.
assistere,alto_uso,,v.intr. e tr.
associare,alto_uso,,v.tr.
associazione,fondamentale,,s.f.
assolutamente,fondamentale,,avv.
assoluto,fondamentale,1,"agg., s.m."
assoluzione,alta_disponibilita,,s.f.
assolvere,alto_uso,,v. tr.
assomigliare,alto_uso,,v.intr. e tr.
assorbente,alta_disponibilita,,"p.pres., agg., s.m."
assorbire,alto_uso,,v.tr.
assordare,alta_disponibilita,,"v.tr., v.intr."
assumere,fondamentale,,v.tr.
assunzione,alto_uso,,s.f.
assurdo,fondamentale,,"agg., s.m."
asta,alto_uso,,s.f.
astemio,alta_disponibilita,,"agg., s.m."
astratto,alto_uso,,"p.pass., agg., s.m."
astronave,alta_disponibilita,,s.f.
astuccio,alta_disponibilita,,s.m.
astuto,alta_disponibilita,,"agg., s.m."
astuzia,alto_uso,,s.f.
ateniese,alta_disponibilita,,"agg., s.m. e f."
ateo,alto_uso,,"agg., s.m."
atlantico,alta_disponibilita,1,agg.
atleta,alto_uso,,s.m. e f.
atmosfera,fondamentale,,s.f.
atomica,alta_disponibilita,,s.f.
atomico,alto_uso,,agg.
atomo,alto_uso,,s.m.
atrio,alta_disponibilita,,s.m.
atroce,alto_uso,,agg.
attaccante,alta_disponibilita,,"p.pres., agg., s.m. e f."
attaccapanni,alta_disponibilita,,s.m.inv.
attaccare,fondamentale,,v.tr. e intr.
attacco,fondamentale,,s.m.
atteggiamento,alto_uso,,s.m.
atteggiare,alta_disponibilita,,v.tr.
attendere,fondamentale,,v.tr. e intr.
attenere,alto_uso,,"v.intr., v.tr."
attentamente,alto_uso,,avv.
attentare,alta_disponibilita,,"v.intr., v.tr."
attentato,alto_uso,,s.m.
attento,fondamentale,,agg.
attenzione,fondamentale,,s.f.
atterraggio,alta_disponibilita,,s.m.
atterrare,alto_uso,,v.tr. e intr.
attesa,fondamentale,,s.f.
attestare,alto_uso,1,v.tr.
attimo,fondamentale,,s.m.
attingere,alto_uso,,"v. tr., v.intr."
attirare,alto_uso,,v.tr.
attivare,alto_uso,,v.tr.
attività,fondamentale,,s.f.
attivo,fondamentale,,"agg., s.m."
atto,fondamentale,1,s.m.
attore,fondamentale,,s.m.
attorno,fondamentale,,avv.
attrarre,alto_uso,,v.tr.
attraversare,alto_uso,,v.tr.
attraverso,fondamentale,,"prep., avv."
attrazione,alto_uso,,s.f.
attrezzare,alto_uso,,v.tr.
attrezzatura,alto_uso,,s.f.
attrezzo,alto_uso,,s.m.
attribuire,alto_uso,,v.tr.
attrice,alto_uso,,s.f.
attuale,fondamentale,,agg.
attualità,alto_uso,,s.f.
attualmente,alto_uso,,avv.
attuare,alto_uso,,v.tr.
augurare,alto_uso,,v.tr. e intr.
augurio,alto_uso,,s.m.
aula,alto_uso,,s.f.
aumentare,fondamentale,,v.tr. e intr.
aumento,fondamentale,,s.m.
australiano,alta_disponibilita,,"agg., s.m."
austriaco,alto_uso,,"agg., s.m."
autentico,alto_uso,,"agg., s.m."
autista,alto_uso,1,s.m. e f.
auto,fondamentale,1,s.f.inv.
autoambulanza,alto_uso,,s.f.
autobotte,alta_disponibilita,,s.f.
autobus,alto_uso,,s.m.inv.
autografo,alta_disponibilita,1,"agg., s.m."
automaticamente,alto_uso,,avv.
automatico,alto_uso,,"agg., s.m."
automobile,alto_uso,,s.f.
automobilista,alta_disponibilita,,s.m. e f.
autonomia,alto_uso,,s.f.
autonomo,alto_uso,,"agg., s.m."
autore,fondamentale,,s.m.
autorevole,alta_disponibilita,,agg.
autorità,fondamentale,,s.f.inv.
autorizzare,fondamentale,,v.tr.
autoscontro,alta_disponibilita,,s.m.
autoscuola,alta_disponibilita,,s.f.
autostop,alta_disponibilita,,s.m.inv.
autostrada,alto_uso,,s.f.
autotreno,alta_disponibilita,,s.m.
autunno,alto_uso,,s.m.
avambraccio,alta_disponibilita,,s.m.
avanguardia,alto_uso,,s.f.
avanti,fondamentale,,"avv., agg.inv., loc. di comando, prep., s.m.inv., s.m. e f.inv."
avanzare,fondamentale,1,v.intr. e tr.
avanzato,alto_uso,1,"p.pass., agg."
avanzo,alta_disponibilita,,s.m.
avarizia,alta_disponibilita,,s.f.
avaro,alta_disponibilita,1,"agg., s.m."
avena,alta_disponibilita,,s.f.
avere,fondamentale,1,"v.tr., v.intr."
aviazione,alta_disponibilita,,s.f.
avvantaggiare,alta_disponibilita,,v.tr.
avvelenare,alto_uso,,v.tr.
avvelenato,alta_disponibilita,,"p.pass., agg."
avvenimento,alto_uso,,s.m.
avvenire,fondamentale,1,"agg.inv., s.m.inv."
avventura,fondamentale,,s.f.
avverare,alta_disponibilita,,v.tr.
avversario,alto_uso,,s.m.
avvertire,alto_uso,,"v.tr., v.intr."
avviamento,alta_disponibilita,,s.m.
avviare,fondamentale,,v.tr.
avvicinare,fondamentale,,v.tr.
avvio,alto_uso,,s.m.
avvisare,alto_uso,1,v.tr.
avviso,alto_uso,1,s.m.
avvitare,alta_disponibilita,1,v.tr.
avvocato,alto_uso,,s.m.
avvolgere,alto_uso,,v.tr.
azienda,fondamentale,,s.f.
aziendale,alto_uso,,agg.
azione,fondamentale,1,s.f.
azione,fondamentale,2,s.f.
azzardare,alto_uso,,v.tr.
azzardo,alta_disponibilita,,s.m.
azzurro,fondamentale,,"s.m., agg."
babbo,alto_uso,1,s.m.
baby,alto_uso,,"s.m. e f.inv., agg.inv."
babydoll,alta_disponibilita,,s.m.inv.
bacca,alta_disponibilita,1,s.f.
baccalà,alta_disponibilita,,s.m.inv.
bacheca,alto_uso,,s.f.
baciare,fondamentale,1,v.tr.
bacinella,alta_disponibilita,,s.f.
bacino,alto_uso,,s.m.
bacio,fondamentale,1,s.m.
baco,alta_disponibilita,1,s.m.
badare,alto_uso,,"v.intr., v.tr."
baffo,alto_uso,,s.m.
bagagliaio,alta_disponibilita,,s.m.
bagaglio,alto_uso,,s.m.
bagnare,alto_uso,,v.tr.
bagnato,alto_uso,,"p.pass., agg., s.m."
bagno,fondamentale,,s.m.
bagnoschiuma,alta_disponibilita,,s.m.inv.
balcone,alto_uso,,s.m.
balena,alto_uso,,s.f.
balia,alto_uso,1,s.f.
ballare,fondamentale,,v.intr. e tr.
ballerina,alta_disponibilita,,s.f.
ballerino,alta_disponibilita,,"s.m., agg."
balletto,alta_disponibilita,,s.m.
ballo,alto_uso,,s.m.
balsamo,alta_disponibilita,,s.m.
bambina,fondamentale,,s.f.
bambinaia,alta_disponibilita,,s.f.
bambino,fondamentale,,"s.m., agg."
bambola,alto_uso,,s.f.
banale,alto_uso,,agg.
banana,alta_disponibilita,,s.f.
